latitude,longitude,tanggal,kelurahan,kecamatan,wilayah
-6.169123,106.765011,12 Februari 2017,Kedoya Utara,Kebun Jeruk, Kota Administrasi Jakarta Barat
-6.342766,106.80221,12 Februari 2017,Ciganjur,Jagakarsa, Kota Administrasi Jakarta Selatan
-6.146966,106.803046,12 Februari 2017,Jembatan Lima,Tambora, Kota Administrasi Jakarta Barat
-6.111361,106.804201,13 Februari 2017,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara
-6.242517,106.821363,13 Februari 2017,Pela Mampang,Mampang Prapatan, Kota Administrasi Jakarta Selatan
-6.110865,106.772721,13 Februari 2017,Pluit,Penjaringan, Kota Administrasi Jakarta Utara
-6.179398,106.800011,13 Februari 2017,Jati Pulo,Palmerah, Kota Administrasi Jakarta Barat
-6.199389,106.775894,13 Februari 2017,Kemanggisan,Palmerah, Kota Administrasi Jakarta Barat
-6.220012,106.868003,15 Februari 2017,Bali Mester,Jatinegara, Kota Administrasi Jakarta Timur
-6.183195,106.812792,15 Februari 2017,Kampung Bali ,Tanah Abang, Kota Administrasi Jakarta Pusat
-6.17564,106.767538,16 Februari 2017,Duri Kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat
-6.163263,106.750565,16 Februari 2017,Kembangan Utara,Kembangan, Kota Administrasi Jakarta Barat
-6.148425,106.73551,17 Februari 2017,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat
-6.278982,106.839085,17 Februari 2017,Pejaten Barat,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.287649,106.835339,18 Februari 2017,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.210187,106.852795,18 Februari 2017,Manggarai ,Tebet, Kota Administrasi Jakarta Selatan
-6.172622,106.76855,19 Februari 2017,Duri Kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat
-6.163183,106.723773,20 Februari 2017,Duri Kosambi,Cengkareng, Kota Administrasi Jakarta Barat
-6.200494,106.740728,20 Februari 2017,Meruya Selatan,Kembangan, Kota Administrasi Jakarta Barat
-6.140239,106.814404,20 Februari 2017,Pinangsia,Tamansari, Kota Administrasi Jakarta Barat
-6.220871,106.846447,20 Februari 2017,Manggarai ,Tebet, Kota Administrasi Jakarta Selatan
-6.215623,106.898972,21 Februari 2017,Klender,Duren Sawit, Kota Administrasi Jakarta Timur
-6.220953,106.904543,21 Februari 2017,Klender,Duren Sawit, Kota Administrasi Jakarta Timur
-6.341595,106.909576,21 Februari 2017,Cilangkap,Cipayung, Kota Administrasi Jakarta Timur
-6.110394,106.911569,21 Februari 2017,Lagoa,Koja, Kota Administrasi Jakarta Utara
-6.24535,106.784688,21 Februari 2017,Kebayoran lama utara,Kebayoran Lama, Kota Administrasi Jakarta Selatan
-6.116616,106.917047,22 Februari 2017,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara
-6.237225,106.847151,22 Februari 2017,Tebet Barat,Tebet, Kota Administrasi Jakarta Selatan
-6.353299,106.820058,22 Februari 2017,Srengseng Sawah,Jagakarsa, Kota Administrasi Jakarta Selatan
